,
,
 2.3.7.7,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon  /v PasswordExpiryWarning   /t REG_DWORD   /d  5  /f
 2.3.7.8,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon  /v  ForceUnlockLogon /  t  REG_DWORD   /d  1 /f
 2.3.7.9,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon  /v  ScRemoveOption   /t  REG_SZ    /d  1  /f
 2.3.8.1 , HKLM\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters /v RequireSecuritySignature    /t  REG_DWORD  /d  1 /f
 2.3.8.2, HKLM\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters  /v  EnableSecuritySignature  /t  REG_DWORD   /fd  1  /f
 2.3.8.3, HKLM\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters  /v  EnablePla inTextPassword  /t   REG_DWORD   /d  0 /f
 2.3.9.1, HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters  /v  AutoDisconnect REG_DWORD    /d 5  /f
 2.3.9.2, HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters  /v RequireSecurit ySignature  /t REG_DWORD   /d  1   /f
 2.3.9.3, HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters  /v  :EnableSecurity Signature  /t  REG_DWORD   /d  1  /f
 2.3.9.4, HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters   /v  enableforcedlogoff  /t   REG_DWORD   /d  1  /f
 2.3.9.5, HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters /v  MBServerNameHardeningLevel   /t  REG_DWORD   /d  1  /f
 2.3.10.1 , HKLM\System\CurrentControlSet\Control\Lsa  /v TurnOffAnonymousBloc   /t  REG_DWORD  /d  1   /f
 2.3.10.2, HKLM\SYSTEM\CurrentControlSet\Control\Lsa  /v RestrictAnonymousSAM  /t REG_DWORD   /d  1  /f
 2.3.10.3, HKLM\SYSTEM\CurrentControlSet\Control\Lsa RestrictAnonymous  /t  REG_DWORD   /d  1  /f
 2.3.10.5, HKLM\SYSTEM\CurrentControlSet\Control\Lsa  /v EveryoneIncludesAnonymous   /t REG_DWORD   /d  0  /f
 2.3.10.6," HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters  /v   NullSessionPipes   /t REG_MULTI_SZ    ""LSARPC,NETLOGON,SAMR"""
 2.3.10.7, HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters  /v  NullSessionPipes   /t  REG_MULTI_SZ   /d  0  /f
 2.3.10.8," HKLM\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedExactPaths  /v  Machine   /d   ""System\CurrentControlSet\Control\ProductOptions,System\CurrentControlSet\Control\Server Applications,Software\Microsoft\Windows NT\CurrentVersion""  /f"
